model,cell,streaming_minus_oracle,lower_familywise95,upper_familywise95
present,detached,0.0,0.0,0.0
present,legato,0.0,0.0,0.0
present,duration,0.0,0.0,0.0
present,joint,0.0,0.0,0.0
recency,detached,0.041666666666666664,0.0,0.16666666666666666
recency,legato,-0.0625,-0.2916666666666667,0.16666666666666666
recency,duration,-0.16666666666666666,-0.4375,0.08333333333333333
recency,joint,-0.1875,-0.4583333333333333,0.0625
transition1,detached,-0.0625,-0.25,0.125
transition1,legato,-0.25,-0.3958333333333333,-0.10416666666666667
transition1,duration,-0.3125,-0.4166666666666667,-0.1875
transition1,joint,-0.3125,-0.4375,-0.1875
transition2,detached,-0.3541666666666667,-0.5208333333333334,-0.1875
transition2,legato,-0.6666666666666666,-0.8333333333333334,-0.4791666666666667
transition2,duration,-0.7916666666666666,-0.9166666666666666,-0.6666666666666666
transition2,joint,-0.8125,-0.9166666666666666,-0.6875
transition3,detached,-0.3958333333333333,-0.5833333333333334,-0.22916666666666666
transition3,legato,-0.7708333333333334,-0.9166666666666666,-0.625
transition3,duration,-0.8125,-0.9375,-0.6875
transition3,joint,-0.8333333333333334,-0.9375,-0.7083333333333334
absolute,detached,-0.3958333333333333,-0.5833333333333334,-0.22916666666666666
absolute,legato,-0.7708333333333334,-0.9166666666666666,-0.625
absolute,duration,-0.8125,-0.9375,-0.6875
absolute,joint,-0.8333333333333334,-0.9375,-0.7083333333333334
reference,detached,-0.25,-0.3958333333333333,-0.10416666666666667
reference,legato,-0.75,-0.8958333333333334,-0.5833333333333334
reference,duration,-0.8125,-0.9375,-0.6875
reference,joint,-0.8333333333333334,-0.9375,-0.7083333333333334
